framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2048,1,1,1,256,1,bfloat16,bfloat16,7,0.04424533247947693
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,32,1,32,8,128,1,bfloat16,bfloat16,1,0.009189333145817121
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,16,1,24,2,128,1,bfloat16,bfloat16,31,0.00696000022192796
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,32,1,16,8,256,1,bfloat16,bfloat16,8191,0.29977067311604816
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,8,4,256,1,bfloat16,bfloat16,63,0.008805333326260248
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,1,1,12,4,128,1,bfloat16,bfloat16,1,0.006890666360656421
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,12,4,128,1,bfloat16,bfloat16,1023,0.009093333035707474
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,8,1,256,1,bfloat16,bfloat16,1023,0.02734400083621343
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2048,1,2,1,256,1,bfloat16,bfloat16,1,0.043951998154322304
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,512,1,24,4,128,1,bfloat16,bfloat16,3,0.027258666853109997
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,48,8,256,1,bfloat16,bfloat16,1,0.008863999818762144
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2048,1,2,2,256,1,bfloat16,bfloat16,15,0.07861333092053731
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2,1,4,1,128,1,bfloat16,bfloat16,4095,0.008746666833758354
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,256,1,8,8,256,1,bfloat16,bfloat16,3,0.05376000205675761
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,128,1,8,8,128,1,bfloat16,bfloat16,255,0.025973332424958546
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,64,8,128,1,bfloat16,bfloat16,2047,0.010816000401973724
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,64,1,12,4,128,1,bfloat16,bfloat16,31,0.009226666763424873
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,8,1,32,4,256,1,bfloat16,bfloat16,2047,0.012986666212479273
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,1,1,8,2,256,1,bfloat16,bfloat16,16383,0.01492799942692121
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,1024,1,16,8,256,1,bfloat16,bfloat16,3,0.14630400141080221
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2,1,2,1,256,1,bfloat16,bfloat16,31,0.008837333569924036
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,1,1,8,1,128,1,bfloat16,bfloat16,127,0.0069333333522081375
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,4,1,64,8,128,1,bfloat16,bfloat16,3,0.007104000076651573
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,32,1,4,2,128,1,bfloat16,bfloat16,8191,0.04561600089073181
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2,1,16,2,128,1,bfloat16,bfloat16,127,0.006821333120266597
VLLM,0.20.0,NVIDIA B200,generation_attention,vllm_flashinfer,2048,1,2,2,128,1,bfloat16,bfloat16,255,0.08286400139331818
